Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
92,21,5,22,2,Some Random Commen with Id 92
93,22,6,24,5,Some Random Commen with Id 93
94,22,6,8,0,Some Random Commen with Id 94
95,22,6,10,4,Some Random Commen with Id 95
96,23,4,162,0,Some Random Commen with Id 96
97,23,4,102,0,Some Random Commen with Id 97
98,24,3,122,6,Some Random Commen with Id 98
99,24,3,110,9,Some Random Commen with Id 99
100,24,3,41,2,Some Random Commen with Id 100
101,24,3,166,2,Some Random Commen with Id 101
102,24,3,187,6,Some Random Commen with Id 102
103,24,3,46,1,Some Random Commen with Id 103
104,24,3,4,7,Some Random Commen with Id 104
105,24,3,168,1,Some Random Commen with Id 105
106,25,5,163,3,Some Random Commen with Id 106
107,25,5,115,6,Some Random Commen with Id 107
108,25,5,188,1,Some Random Commen with Id 108
109,25,5,157,9,Some Random Commen with Id 109
110,25,5,58,6,Some Random Commen with Id 110
111,25,5,198,5,Some Random Commen with Id 111
112,25,5,66,8,Some Random Commen with Id 112
113,25,5,51,9,Some Random Commen with Id 113
114,26,5,71,6,Some Random Commen with Id 114
115,26,5,104,6,Some Random Commen with Id 115
116,26,5,89,5,Some Random Commen with Id 116
117,26,5,169,7,Some Random Commen with Id 117
118,26,5,127,5,Some Random Commen with Id 118
119,26,5,72,9,Some Random Commen with Id 119
120,26,5,28,4,Some Random Commen with Id 120
121,26,5,77,3,Some Random Commen with Id 121
122,26,5,44,6,Some Random Commen with Id 122
123,27,2,25,1,Some Random Commen with Id 123
124,27,2,170,6,Some Random Commen with Id 124
125,27,2,78,7,Some Random Commen with Id 125
126,28,8,128,7,Some Random Commen with Id 126
127,28,8,117,7,Some Random Commen with Id 127
128,28,8,133,0,Some Random Commen with Id 128
129,28,8,60,3,Some Random Commen with Id 129
130,29,6,135,6,Some Random Commen with Id 130
131,29,6,140,5,Some Random Commen with Id 131
132,29,6,148,5,Some Random Commen with Id 132
133,29,6,17,7,Some Random Commen with Id 133
134,30,2,1,1,Some Random Commen with Id 134
135,30,2,165,5,Some Random Commen with Id 135
136,30,2,196,1,Some Random Commen with Id 136
137,30,2,134,4,Some Random Commen with Id 137
138,30,2,42,6,Some Random Commen with Id 138
139,30,2,66,3,Some Random Commen with Id 139
140,31,4,118,6,Some Random Commen with Id 140
141,31,4,176,8,Some Random Commen with Id 141
142,31,4,21,8,Some Random Commen with Id 142
143,33,0,79,2,Some Random Commen with Id 143
144,33,0,79,3,Some Random Commen with Id 144
145,34,8,193,1,Some Random Commen with Id 145
146,34,8,108,9,Some Random Commen with Id 146
147,34,8,75,4,Some Random Commen with Id 147
148,34,8,171,1,Some Random Commen with Id 148
149,34,8,132,0,Some Random Commen with Id 149
150,34,8,173,7,Some Random Commen with Id 150
151,34,8,78,4,Some Random Commen with Id 151
152,34,8,120,4,Some Random Commen with Id 152
153,35,1,100,8,Some Random Commen with Id 153
154,35,1,169,9,Some Random Commen with Id 154
155,35,1,99,6,Some Random Commen with Id 155
156,35,1,115,1,Some Random Commen with Id 156
157,35,1,92,0,Some Random Commen with Id 157
158,35,1,21,0,Some Random Commen with Id 158
159,35,1,86,2,Some Random Commen with Id 159
160,36,2,98,6,Some Random Commen with Id 160
161,36,2,197,2,Some Random Commen with Id 161
162,38,5,28,6,Some Random Commen with Id 162
163,38,5,143,1,Some Random Commen with Id 163
164,39,3,154,0,Some Random Commen with Id 164
165,39,3,13,2,Some Random Commen with Id 165
